Nivel;ID;Denominacion
0;L504-DIVA;DIVISION A
1;L504-3200;DEPARTAMENTO - BANBURYS
2;L504-BB;EDIFICIO MIXER
3;L504-BB-000040;PIGMENT ROOM (SALA DE PIGMENTO)
4;CH-CNTELPG-CCH-01;CONTROL ELECTRICO PIG BBY
4;CH-DCOLLPG-CCH-01;DUST COLLECTOR PIG BBY
4;CH-STAT-CCH-01;ESTACION # 1 BBY
4;CH-STAT-CCH-02;ESTACION # 2 BBY
4;CH-STAT-CCH-03;ESTACION # 3 BBY
4;CH-STAT-CCH-04;ESTACION # 4 BBY
4;CH-STAT-CCH-05;ESTACION # 5 BBY
4;CH-STAT-CCH-06;ESTACION # 6 BBY
3;L504-BB-000041;SISTEMA ACEITE GENERAL
4;CH-CNELOIL-CCH-01;CONTROL ELECTRICO ACEITES BBY
4;CH-TNKPPISO-CCH-01;TANQUES PRIMER PISO BBY
4;CH-TNKTPISO-CCH-01;TANQUES TERCER PISO BBY
3;L504-BB-000042;SISTEMA DE LUBRICACIÓN (SLURRY)
4;CH-CNTELBBY-CCH-01;CONTROL ELÉCTRICO BBY
4;CH-TNKPRIM-CCH-01;ESTANQUE PRIMARIO BBY
4;CH-TNKSECUN-CCH-01;ESTANQUE SECUNDARIO BBY
3;L504-BBSISTEMA;SISTEMA EDIFICIOS
4;L504-BB-010000;SISTEMA ACEITE GENERAL
5;L504-BB-011000;TANQUES PRIMER PISO BBY
5;L504-BB-012000;TANQUES TERCER PISO BBY
5;L504-BB-013000;CONTROL ELECTRICO ACEITES BBY
4;L504-BB-020000;SISTEMA DE LUBRICACIÓN (SLURRY)
5;L504-BB-021000;ESTANQUE PRIMARIO BBY
5;L504-BB-022000;ESTANQUE SECUNDARIO BBY
5;L504-BB-023000;CONTROL ELÉCTRICO BBY
3;L504-CICLONAIR;CICLON AIR
3;L504-DYNAMICAIR;DYNAMIC AIR
3;L504-PIGMENTROOM;PIGMENT ROOM
4;L504-PIGMENT01;ESTACIÓN DE PIGMENTOS 01
4;L504-PIGMENT02;ESTACIÓN DE PIGMENTOS 02
4;L504-PIGMENT03;ESTACIÓN DE PIGMENTOS 03
4;L504-PIGMENT04;ESTACIÓN DE PIGMENTOS 04
4;L504-PIGMENTBLENDER;PIGMENT BLENDER
2;L504-BB01;MIXER 1
3;L504-BB01-000031;AUXILIARES
4;CH-BTCU-CCH-01;BTCU BBY1
4;CH-CCARGA-CCH-01;PUERTA DE CARGA BBY1
4;CH-CDESCA-CCH-01;COMPUERTA DESCARGA BBY1
4;CH-CNTLELEC-CCH-01;CONTROL ELECTRICO AUX BBY1
4;CH-CREDUCT-01;CAJA REDUCTORA BBY1
4;CH-DSL-CCH-01;DSL BBY1
4;CH-DUSTCOLL-CCH-01;DUST COLLECTOR MIX BBY1
4;CH-HTU-CCH-01;HTU BBY1
